shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,model,state_type,init_seed
47.0,0.051543667912483215,0.5555555555555555,8.32494831085205,0.8348991274833679,9.97456169128418,2.0708234310150146,qwen,random_initialization,1702
48.0,0.0320403166115284,0.48148148148148157,8.684710502624512,0.8348991274833679,10.40584659576416,2.084419012069702,qwen,random_initialization,1702
49.0,0.052458759397268295,0.5555555555555555,9.64229679107666,0.8348991274833679,11.553614616394043,2.174605369567871,qwen,random_initialization,1702
0.0,0.04752591252326965,0.5555555555555555,8.77383804321289,0.8310847878456116,10.561504364013672,2.2765533924102783,qwen,random_initialization,1703
1.0,0.045032620429992676,0.5555555555555555,7.900233745574951,0.8310847878456116,9.509480476379395,2.0830373764038086,qwen,random_initialization,1703
2.0,0.03737753629684448,0.5185185185185184,9.104130744934082,0.8310847878456116,10.95842456817627,2.1320760250091553,qwen,random_initialization,1703
3.0,0.046815406531095505,0.5555555555555555,9.844343185424805,0.8310847878456116,11.849526405334473,2.2078282833099365,qwen,random_initialization,1703
4.0,0.049686089158058167,0.5555555555555555,8.32216739654541,0.8310847878456116,10.017609596252441,1.9957772493362427,qwen,random_initialization,1703
5.0,0.038324009627103806,0.5555555555555555,7.986817836761475,0.8310847878456116,9.613716125488281,2.059248924255371,qwen,random_initialization,1703
6.0,0.029298895969986916,0.48148148148148157,9.425978660583496,0.8310847878456116,11.345818519592285,2.142688512802124,qwen,random_initialization,1703
7.0,0.04904730245471001,0.5555555555555555,9.130293846130371,0.8310847878456116,10.990015983581543,2.1012141704559326,qwen,random_initialization,1703
8.0,0.0701405331492424,0.6666666666666666,8.422371864318848,0.8310847878456116,10.137951850891113,1.9957901239395142,qwen,random_initialization,1703
9.0,0.05047473683953285,0.5555555555555555,7.0587239265441895,0.8310847878456116,8.49683952331543,2.0122287273406982,qwen,random_initialization,1703
10.0,0.05294656753540039,0.5555555555555555,7.268436908721924,0.8310847878456116,8.749401092529297,1.9980812072753906,qwen,random_initialization,1703
11.0,0.045281097292900085,0.5185185185185184,9.351868629455566,0.8310847878456116,11.256930351257324,2.1567530632019043,qwen,random_initialization,1703
12.0,0.049795959144830704,0.5555555555555555,8.586462020874023,0.8310847878456116,10.335553169250488,2.1614291667938232,qwen,random_initialization,1703
13.0,0.03283277153968811,0.48148148148148157,7.654512882232666,0.8310847878456116,9.213885307312012,1.9332557916641235,qwen,random_initialization,1703
14.0,0.040233250707387924,0.5185185185185184,7.898021697998047,0.8310847878456116,9.507233619689941,2.1527044773101807,qwen,random_initialization,1703
15.0,0.020376257598400116,0.4444444444444446,9.981728553771973,0.8310847878456116,12.0148286819458,2.1200978755950928,qwen,random_initialization,1703
16.0,0.05390549823641777,0.5555555555555555,8.381792068481445,0.8310847878456116,10.089194297790527,1.9499651193618774,qwen,random_initialization,1703
17.0,0.05702942982316017,0.5925925925925926,10.500921249389648,0.8310847878456116,12.640103340148926,2.273099184036255,qwen,random_initialization,1703
18.0,0.026322046294808388,0.4444444444444446,6.735729217529297,0.8310847878456116,8.108070373535156,1.9663128852844238,qwen,random_initialization,1703
19.0,0.059340059757232666,0.5925925925925926,8.152874946594238,0.8310847878456116,9.81390380859375,1.9628759622573853,qwen,random_initialization,1703
20.0,0.053027793765068054,0.5555555555555555,9.782047271728516,0.8310847878456116,11.774737358093262,2.354135513305664,qwen,random_initialization,1703
21.0,0.06362422555685043,0.6296296296296297,8.295504570007324,0.8310847878456116,9.98559856414795,1.9891204833984375,qwen,random_initialization,1703
22.0,0.05902707576751709,0.5925925925925926,7.9081549644470215,0.8310847878456116,9.519176483154297,1.9968608617782593,qwen,random_initialization,1703
23.0,0.046144139021635056,0.5555555555555555,8.51191234588623,0.8310847878456116,10.245535850524902,1.9770749807357788,qwen,random_initialization,1703
24.0,0.0415143184363842,0.5185185185185184,7.811164855957031,0.8310847878456116,9.402297973632812,1.9686647653579712,qwen,random_initialization,1703
25.0,0.04966474696993828,0.5555555555555555,8.686366081237793,0.8310847878456116,10.455824851989746,2.153017282485962,qwen,random_initialization,1703
26.0,0.04742574319243431,0.5555555555555555,8.837635040283203,0.8310847878456116,10.637893676757812,2.0530214309692383,qwen,random_initialization,1703
27.0,0.05441105365753174,0.5925925925925926,10.329415321350098,0.8310847878456116,12.433348655700684,2.312058210372925,qwen,random_initialization,1703
28.0,0.05156300589442253,0.5555555555555555,6.11111307144165,0.8310847878456116,7.356325149536133,2.0568952560424805,qwen,random_initialization,1703
29.0,0.04656440019607544,0.5555555555555555,8.640093803405762,0.8310847878456116,10.399941444396973,2.069007158279419,qwen,random_initialization,1703
30.0,0.05865244194865227,0.5925925925925926,9.666680335998535,0.8310847878456116,11.635518074035645,2.2061026096343994,qwen,random_initialization,1703
31.0,0.03181856498122215,0.48148148148148157,9.529117584228516,0.8310847878456116,11.470184326171875,2.196674108505249,qwen,random_initialization,1703
32.0,0.015562277287244797,0.4444444444444446,9.77425765991211,0.8310847878456116,11.765068054199219,2.2136647701263428,qwen,random_initialization,1703
33.0,0.048800528049468994,0.5555555555555555,8.476963996887207,0.8310847878456116,10.20383071899414,2.0849339962005615,qwen,random_initialization,1703
34.0,0.08334466814994812,0.7037037037037038,7.520971775054932,0.8310847878456116,9.053208351135254,1.9508978128433228,qwen,random_initialization,1703
35.0,0.029111355543136597,0.48148148148148157,8.136401176452637,0.8310847878456116,9.793747901916504,2.051435947418213,qwen,random_initialization,1703
36.0,0.04752163216471672,0.5555555555555555,9.36227035522461,0.8310847878456116,11.2692232131958,2.1400628089904785,qwen,random_initialization,1703
37.0,0.05263174697756767,0.5925925925925926,8.331629753112793,0.8310847878456116,10.028855323791504,2.105104684829712,qwen,random_initialization,1703
38.0,0.05880867317318916,0.5925925925925926,8.727147102355957,0.8310847878456116,10.505046844482422,2.061499834060669,qwen,random_initialization,1703
39.0,0.03975134715437889,0.5185185185185184,9.026124954223633,0.8310847878456116,10.864558219909668,2.2025222778320312,qwen,random_initialization,1703
40.0,0.04721182584762573,0.5555555555555555,7.557476043701172,0.8310847878456116,9.097294807434082,2.101470708847046,qwen,random_initialization,1703
41.0,0.053438786417245865,0.5925925925925926,7.55199670791626,0.8310847878456116,9.09032154083252,2.045168161392212,qwen,random_initialization,1703
42.0,0.049055811017751694,0.5555555555555555,9.307608604431152,0.8310847878456116,11.203689575195312,2.0291903018951416,qwen,random_initialization,1703
43.0,0.04649651050567627,0.5555555555555555,9.185296058654785,0.8310847878456116,11.056221008300781,2.207669258117676,qwen,random_initialization,1703
44.0,0.027005324140191078,0.48148148148148157,8.948908805847168,0.8310847878456116,10.771750450134277,2.142545700073242,qwen,random_initialization,1703
