"model","mechanism","layer_from","layer_to","depth_mid","cosine_step_mean","cosine_step_sem","participation_fraction_mean","participation_fraction_sem","n_prompts","hidden_dim","tile_width"
"Gemma","Stable",2,3,0.1,0.248594188315965,0.000812275105396948,0.00660953013703094,0.000248973230805735,40,2304,0.0392
"Gemma","Stable",3,4,0.14,0.254699192706305,0.0034069273406341,0.00701215577546278,0.000124217818859403,40,2304,0.0392
"Gemma","Stable",4,5,0.18,0.155593808673478,0.000406770029103772,0.130235197653288,0.00678062935292614,40,2304,0.0392
"Gemma","Stable",5,6,0.22,0.189880835356274,0.00126494111441943,0.00674379284987058,0.00019776904503415,40,2304,0.0392
"Gemma","Stable",6,7,0.26,0.146344112624526,0.00260007648142578,0.0370624254869807,0.000745133354365564,40,2304,0.0392
"Gemma","Stable",7,8,0.3,0.122166947642463,0.00034099686758171,0.0724285450240777,0.00348979633016447,40,2304,0.0392
"Gemma","Stable",8,9,0.34,0.1488813357173,0.00288337760363818,0.199602920984236,0.00587411339647605,40,2304,0.0392
"Gemma","Stable",9,10,0.38,0.122149309033467,0.00133282534437567,0.243465477542666,0.00227925768969838,40,2304,0.0392
"Gemma","Stable",10,11,0.42,0.112190515004921,0.001174198426203,0.204452181749868,0.00335448081736895,40,2304,0.0392
"Gemma","Stable",11,12,0.46,0.112015711693131,0.00188019366971586,0.230962610417545,0.00186045061339645,40,2304,0.0392
"Gemma","Stable",12,13,0.5,0.134837451249923,0.00315301939869276,0.218320703738611,0.00340247306636392,40,2304,0.0392
"Gemma","Stable",13,14,0.54,0.128510122488449,0.00198332888731941,0.150982488774126,0.00314467083305827,40,2304,0.0392
"Gemma","Stable",14,15,0.58,0.146797734878457,0.00346112577672849,0.117733112965536,0.00145931318126012,40,2304,0.0392
"Gemma","Stable",15,16,0.62,0.125517648742316,0.00284510708867467,0.171991158020656,0.00437545334677137,40,2304,0.0392
"Gemma","Stable",16,17,0.66,0.125480555473459,0.00225013021127053,0.142024822623339,0.00283266708224876,40,2304,0.0392
"Gemma","Stable",17,18,0.7,0.113282198810595,0.00260816247443436,0.0227237182147731,0.000859785018383387,40,2304,0.0392
"Gemma","Stable",18,19,0.74,0.0749833543390084,0.000858061119661037,0.0310732633858597,0.000511266414998712,40,2304,0.0392
"Gemma","Stable",19,20,0.78,0.0626426065330062,0.000964482410397783,0.00833252300681712,0.000128482159555478,40,2304,0.0392
"Gemma","Stable",20,21,0.82,0.0661544148247025,0.000813956425476155,0.00636611109527487,0.0002037911747252,40,2304,0.0392
"Gemma","Stable",21,22,0.86,0.0594435317590839,0.000744832484991851,0.0107848463436547,0.000392294099902631,40,2304,0.0392
"Gemma","Stable",22,23,0.9,0.0771989990297016,0.000927325567623872,0.00505657719178761,9.42633772612142e-05,40,2304,0.0392
"Gemma","Stable",23,24,0.94,0.146632922772121,0.00167729963929577,0.00732616668017447,0.000132619554530505,40,2304,0.0392
"Gemma","Stable",24,25,0.98,0.361777726965625,0.00155549800835705,0.00133043764188784,8.18394008489874e-06,40,2304,0.0392
"Gemma","Competition",0,1,0.02,0.298479871210437,0.000349420424927877,0.0021654990125817,8.94612963353148e-06,32,2304,0.0392
"Gemma","Competition",1,2,0.06,0.356006357862747,0.00117492083550299,0.00158685232013182,4.41767805196394e-06,32,2304,0.0392
"Gemma","Competition",2,3,0.1,0.255413121774713,0.000669339520246167,0.00584957442007409,2.84551974975981e-05,32,2304,0.0392
"Gemma","Competition",3,4,0.14,0.270313542160469,0.000365023858428346,0.00811257857628154,0.00010775041124666,32,2304,0.0392
"Gemma","Competition",4,5,0.18,0.158402622820351,0.000428317651522939,0.173205926284946,0.002391807888395,32,2304,0.0392
"Gemma","Competition",5,6,0.22,0.199674948926589,0.000462230543621141,0.0065719472035576,6.66189655518488e-05,32,2304,0.0392
"Gemma","Competition",6,7,0.26,0.151980007988009,0.000546776360021223,0.0435292818428508,0.000925824555260715,32,2304,0.0392
"Gemma","Competition",7,8,0.3,0.119482284498815,0.000625859841683838,0.0882878258466935,0.00130686735642654,32,2304,0.0392
"Gemma","Competition",8,9,0.34,0.159730048120699,0.000280035732866838,0.218354277768091,0.00422124538293824,32,2304,0.0392
"Gemma","Competition",9,10,0.38,0.125414324565385,0.000213212282049349,0.254497197954922,0.00174026977236056,32,2304,0.0392
"Gemma","Competition",10,11,0.42,0.115709448664936,0.000309870967384908,0.172322020748002,0.00303672918255899,32,2304,0.0392
"Gemma","Competition",11,12,0.46,0.120050954241026,0.000528219770026131,0.227697536848184,0.00129633134476575,32,2304,0.0392
"Gemma","Competition",12,13,0.5,0.144218017198051,0.000549634207141947,0.228713447263045,0.00401407014324061,32,2304,0.0392
"Gemma","Competition",13,14,0.54,0.136127465843497,0.000640318515401282,0.160928699926965,0.00133309824675387,32,2304,0.0392
"Gemma","Competition",14,15,0.58,0.163709509395274,0.000663267523238351,0.154620869045163,0.0051258295832301,32,2304,0.0392
"Gemma","Competition",15,16,0.62,0.141317932319055,0.000660852187373799,0.200410834275931,0.00285085701116111,32,2304,0.0392
"Gemma","Competition",16,17,0.66,0.137937296333228,0.00061943061800153,0.160472842193293,0.0044757804869537,32,2304,0.0392
