"element","x","y"
"retained layer-state dimensions",0.76235294117647,0.340606060606061
"retained layer-state dimensions",0.801176470588235,0.340606060606061
"retained layer-state dimensions",0.84,0.340606060606061
"retained layer-state dimensions",0.18,0.355757575757576
"retained layer-state dimensions",0.218823529411765,0.355757575757576
"retained layer-state dimensions",0.257647058823529,0.355757575757576
"retained layer-state dimensions",0.296470588235294,0.355757575757576
"retained layer-state dimensions",0.335294117647059,0.355757575757576
"retained layer-state dimensions",0.374117647058823,0.355757575757576
"retained layer-state dimensions",0.412941176470588,0.355757575757576
"retained layer-state dimensions",0.451764705882353,0.355757575757576
"retained layer-state dimensions",0.490588235294118,0.355757575757576
"retained layer-state dimensions",0.529411764705882,0.355757575757576
"retained layer-state dimensions",0.568235294117647,0.355757575757576
"retained layer-state dimensions",0.607058823529412,0.355757575757576
"retained layer-state dimensions",0.645882352941176,0.355757575757576
"retained layer-state dimensions",0.684705882352941,0.355757575757576
"retained layer-state dimensions",0.723529411764706,0.355757575757576
"retained layer-state dimensions",0.76235294117647,0.355757575757576
"retained layer-state dimensions",0.801176470588235,0.355757575757576
"retained layer-state dimensions",0.84,0.355757575757576
"retained layer-state dimensions",0.18,0.370909090909091
"retained layer-state dimensions",0.218823529411765,0.370909090909091
"retained layer-state dimensions",0.257647058823529,0.370909090909091
"retained layer-state dimensions",0.296470588235294,0.370909090909091
"retained layer-state dimensions",0.335294117647059,0.370909090909091
"retained layer-state dimensions",0.374117647058823,0.370909090909091
"retained layer-state dimensions",0.412941176470588,0.370909090909091
"retained layer-state dimensions",0.451764705882353,0.370909090909091
"retained layer-state dimensions",0.490588235294118,0.370909090909091
"retained layer-state dimensions",0.529411764705882,0.370909090909091
"retained layer-state dimensions",0.568235294117647,0.370909090909091
"retained layer-state dimensions",0.607058823529412,0.370909090909091
"retained layer-state dimensions",0.645882352941176,0.370909090909091
"retained layer-state dimensions",0.684705882352941,0.370909090909091
"retained layer-state dimensions",0.723529411764706,0.370909090909091
"retained layer-state dimensions",0.76235294117647,0.370909090909091
"retained layer-state dimensions",0.801176470588235,0.370909090909091
"retained layer-state dimensions",0.84,0.370909090909091
"retained layer-state dimensions",0.18,0.386060606060606
"retained layer-state dimensions",0.218823529411765,0.386060606060606
"retained layer-state dimensions",0.257647058823529,0.386060606060606
"retained layer-state dimensions",0.296470588235294,0.386060606060606
"retained layer-state dimensions",0.335294117647059,0.386060606060606
"retained layer-state dimensions",0.374117647058823,0.386060606060606
"retained layer-state dimensions",0.412941176470588,0.386060606060606
"retained layer-state dimensions",0.451764705882353,0.386060606060606
"retained layer-state dimensions",0.490588235294118,0.386060606060606
"retained layer-state dimensions",0.529411764705882,0.386060606060606
"retained layer-state dimensions",0.568235294117647,0.386060606060606
"retained layer-state dimensions",0.607058823529412,0.386060606060606
"retained layer-state dimensions",0.645882352941176,0.386060606060606
"retained layer-state dimensions",0.684705882352941,0.386060606060606
"retained layer-state dimensions",0.723529411764706,0.386060606060606
"retained layer-state dimensions",0.76235294117647,0.386060606060606
"retained layer-state dimensions",0.801176470588235,0.386060606060606
"retained layer-state dimensions",0.84,0.386060606060606
"retained layer-state dimensions",0.18,0.401212121212121
"retained layer-state dimensions",0.218823529411765,0.401212121212121
"retained layer-state dimensions",0.257647058823529,0.401212121212121
"retained layer-state dimensions",0.296470588235294,0.401212121212121
"retained layer-state dimensions",0.335294117647059,0.401212121212121
"retained layer-state dimensions",0.374117647058823,0.401212121212121
"retained layer-state dimensions",0.412941176470588,0.401212121212121
"retained layer-state dimensions",0.451764705882353,0.401212121212121
"retained layer-state dimensions",0.490588235294118,0.401212121212121
"retained layer-state dimensions",0.529411764705882,0.401212121212121
"retained layer-state dimensions",0.568235294117647,0.401212121212121
"retained layer-state dimensions",0.607058823529412,0.401212121212121
"retained layer-state dimensions",0.645882352941176,0.401212121212121
"retained layer-state dimensions",0.684705882352941,0.401212121212121
"retained layer-state dimensions",0.723529411764706,0.401212121212121
"retained layer-state dimensions",0.76235294117647,0.401212121212121
"retained layer-state dimensions",0.801176470588235,0.401212121212121
"retained layer-state dimensions",0.84,0.401212121212121
"retained layer-state dimensions",0.18,0.416363636363636
"retained layer-state dimensions",0.218823529411765,0.416363636363636
"retained layer-state dimensions",0.257647058823529,0.416363636363636
"retained layer-state dimensions",0.296470588235294,0.416363636363636
"retained layer-state dimensions",0.335294117647059,0.416363636363636
"retained layer-state dimensions",0.374117647058823,0.416363636363636
"retained layer-state dimensions",0.412941176470588,0.416363636363636
"retained layer-state dimensions",0.451764705882353,0.416363636363636
"retained layer-state dimensions",0.490588235294118,0.416363636363636
"retained layer-state dimensions",0.529411764705882,0.416363636363636
"retained layer-state dimensions",0.568235294117647,0.416363636363636
"retained layer-state dimensions",0.607058823529412,0.416363636363636
"retained layer-state dimensions",0.645882352941176,0.416363636363636
"retained layer-state dimensions",0.684705882352941,0.416363636363636
"retained layer-state dimensions",0.723529411764706,0.416363636363636
