"model","condition_label","graph_id","layer","R","R_z","R_z_clip"
"Qwen","Stable positive",9,21,4.03451919555664,0.626053311504332,0.626053311504332
"Qwen","Stable positive",9,22,7.1524600982666,1.51122598328539,1.51122598328539
"Qwen","Stable positive",9,23,8.13340950012207,1.78971413620956,1.78971413620956
"Qwen","Stable positive",9,24,10.1250553131104,2.35513551542561,2.35513551542561
"Qwen","Stable positive",9,25,13.7568454742432,3.38618821994735,2.5
"Qwen","Stable positive",9,26,16.7424945831299,4.23380370759722,2.5
"Qwen","Stable positive",9,27,3.72032737731934,0.536855337623833,0.536855337623833
"Qwen","Stable positive",10,0,-0.120827198028564,-0.758600829367287,-0.758600829367287
"Qwen","Stable positive",10,1,0.309000074863434,-0.500603942240468,-0.500603942240468
"Qwen","Stable positive",10,2,0.290645152330399,-0.51162118841267,-0.51162118841267
"Qwen","Stable positive",10,3,0.0367971360683441,-0.663989365420796,-0.663989365420796
"Qwen","Stable positive",10,4,0.0297330021858215,-0.668229497834161,-0.668229497834161
"Qwen","Stable positive",10,5,0.596191227436066,-0.328222085510964,-0.328222085510964
"Qwen","Stable positive",10,6,0.969783067703247,-0.103979609698753,-0.103979609698753
"Qwen","Stable positive",10,7,1.04133939743042,-0.0610290770356716,-0.0610290770356716
"Qwen","Stable positive",10,8,0.802772760391235,-0.204224852665034,-0.204224852665034
"Qwen","Stable positive",10,9,0.985754251480103,-0.0943931642635083,-0.0943931642635083
"Qwen","Stable positive",10,10,1.55191314220428,0.245434577338904,0.245434577338904
"Qwen","Stable positive",10,11,1.83499908447266,0.415352347803306,0.415352347803306
"Qwen","Stable positive",10,12,1.93272709846497,0.474012011778228,0.474012011778228
"Qwen","Stable positive",10,13,1.0970630645752,-0.0275818446953092,-0.0275818446953092
"Qwen","Stable positive",10,14,1.44319367408752,0.180177470325931,0.180177470325931
"Qwen","Stable positive",10,15,1.32172000408173,0.107264859363618,0.107264859363618
"Qwen","Stable positive",10,16,1.47546744346619,0.199549279796094,0.199549279796094
"Qwen","Stable positive",10,17,1.55620837211609,0.248012719808282,0.248012719808282
"Qwen","Stable positive",10,18,1.81906247138977,0.405786652869466,0.405786652869466
"Qwen","Stable positive",10,19,1.36839616298676,0.135281470825962,0.135281470825962
"Qwen","Stable positive",10,20,2.47474813461304,0.799351395532485,0.799351395532485
"Qwen","Stable positive",10,21,4.00539350509644,1.7180965887418,1.7180965887418
"Qwen","Stable positive",10,22,3.24443483352661,1.26134342094897,1.26134342094897
"Qwen","Stable positive",10,23,2.53949737548828,0.838216082915491,0.838216082915491
"Qwen","Stable positive",10,24,3.27481317520142,1.27957753051452,1.27957753051452
"Qwen","Stable positive",10,25,5.17516899108887,2.42023545487918,2.42023545487918
"Qwen","Stable positive",10,26,8.87707328796387,4.64224379466902,2.5
"Qwen","Stable positive",10,27,-0.0802453756332397,-0.734242245088811,-0.734242245088811
"Qwen","Stable positive",11,0,0.441768378019333,1.17515367803066,1.17515367803066
"Qwen","Stable positive",11,1,-0.0989001840353012,0.732081520782939,0.732081520782939
"Qwen","Stable positive",11,2,-0.295560926198959,0.570920126554168,0.570920126554168
"Qwen","Stable positive",11,3,-0.34455868601799,0.530766981601882,0.530766981601882
"Qwen","Stable positive",11,4,-0.488837718963623,0.412531842998842,0.412531842998842
"Qwen","Stable positive",11,5,-0.844264388084412,0.121263454039311,0.121263454039311
"Qwen","Stable positive",11,6,-1.28626096248627,-0.240948054934172,-0.240948054934172
"Qwen","Stable positive",11,7,-1.23337113857269,-0.197605404699829,-0.197605404699829
"Qwen","Stable positive",11,8,-1.14856791496277,-0.128110061594207,-0.128110061594207
"Qwen","Stable positive",11,9,-0.212085232138634,0.639327573261457,0.639327573261457
"Qwen","Stable positive",11,10,0.111637562513351,0.904614973053387,0.904614973053387
"Qwen","Stable positive",11,11,-0.0704003870487213,0.755436802406822,0.755436802406822
"Qwen","Stable positive",11,12,-0.701876163482666,0.237949095241052,0.237949095241052
"Qwen","Stable positive",11,13,-0.259906500577927,0.600138550527824,0.600138550527824
"Qwen","Stable positive",11,14,-0.89582222700119,0.0790123513950645,0.0790123513950645
"Qwen","Stable positive",11,15,-1.47337305545807,-0.394284432335333,-0.394284432335333
"Qwen","Stable positive",11,16,-2.49285674095154,-1.22974050933358,-1.22974050933358
"Qwen","Stable positive",11,17,-2.37821817398071,-1.13579541850283,-1.13579541850283
"Qwen","Stable positive",11,18,-1.85396564006805,-0.706176022360113,-0.706176022360113
"Qwen","Stable positive",11,19,-0.945926904678345,0.0379520989878324,0.0379520989878324
"Qwen","Stable positive",11,20,-1.7106294631958,-0.58871354431795,-0.58871354431795
"Qwen","Stable positive",11,21,-0.627515554428101,0.298886826376844,0.298886826376844
"Qwen","Stable positive",11,22,0.535373568534851,1.25186213974274,1.25186213974274
"Qwen","Stable positive",11,23,0.582080900669098,1.29013830347855,1.29013830347855
"Qwen","Stable positive",11,24,1.793372631073,2.2827790407296,2.2827790407296
