model,cutoff_layer,n_observed_layers,shuffle_id,permutation,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy
qwen,23,4,20,independent_within_prompt_precurrent,0.41373235585310364,1.8497314541883716,0.6551069452515451,0.6482756720758651,0.7914617351957505,0.6673941422469772,0.196230231899805,0.8206896551724138
qwen,23,4,21,independent_within_prompt_precurrent,0.4049222161386966,1.8764151257191903,0.651167962778599,0.6428187465085698,0.7779526526329597,0.6470646964054882,0.20131999205100753,0.8068965517241379
qwen,23,4,22,independent_within_prompt_precurrent,0.40232451176160355,1.8645305662414666,0.6494766054319591,0.6410912080146541,0.7839202570660371,0.6387683951472486,0.19837803929637143,0.7931034482758621
qwen,23,4,23,independent_within_prompt_precurrent,0.41385793891219436,1.852174500845856,0.6561418095416015,0.6510903641734002,0.7840514132074234,0.6578654780137962,0.19752318893868584,0.8137931034482758
qwen,23,4,24,independent_within_prompt_precurrent,0.4200872723059893,1.8229563438923089,0.6615639822469602,0.6505287050475657,0.7864778018230705,0.6557273137417986,0.193234019301188,0.8137931034482758
qwen,23,4,25,independent_within_prompt_precurrent,0.4107512383282059,1.848603165854337,0.6558906747018839,0.6449384377167128,0.7872647386713882,0.6556834812760939,0.19604877979902857,0.803448275862069
qwen,23,4,26,independent_within_prompt_precurrent,0.3989932872413636,1.8817856581142058,0.6476720428327032,0.6385311445615514,0.7796576824709818,0.6442786928955059,0.19985446162510373,0.8172413793103448
qwen,23,4,27,independent_within_prompt_precurrent,0.4105030404753365,1.8479662323633586,0.654544304732315,0.6433329241577131,0.7805101973899928,0.650215517754854,0.20006171546624643,0.8172413793103448
qwen,23,4,28,independent_within_prompt_precurrent,0.4194616237345242,1.8343184993759474,0.6601235524799539,0.6475983844834768,0.7854285526919798,0.655191249239729,0.1966040005306779,0.8206896551724138
qwen,23,4,29,independent_within_prompt_precurrent,0.4111137089377337,1.8627807929965723,0.6547104078290095,0.649650666755799,0.7817561807331629,0.6436830563570736,0.1990782515046552,0.8068965517241379
qwen,23,4,30,independent_within_prompt_precurrent,0.416512250100019,1.8454019059779574,0.6583071023421965,0.6488174037425701,0.788379565873172,0.6550814919020257,0.19647123869925945,0.8172413793103448
qwen,23,4,31,independent_within_prompt_precurrent,0.41405534587325454,1.8375989865539102,0.6563062303446099,0.6481315055196939,0.7863466456816841,0.664555423568466,0.1969169194441116,0.8206896551724138
qwen,23,4,32,independent_within_prompt_precurrent,0.41402204250005825,1.8437796438109813,0.6567896982535335,0.6459894266722821,0.7791330579054364,0.6488398941977795,0.19790002291225556,0.8206896551724138
qwen,23,4,33,independent_within_prompt_precurrent,0.4107767892802143,1.8552859660703565,0.6555429443072608,0.6477108147158493,0.7844448816315824,0.6448202671017761,0.19651194991165605,0.8103448275862069
qwen,23,4,34,independent_within_prompt_precurrent,0.411201009263525,1.8637720052465778,0.6549006551936862,0.6461129277152821,0.787133582530002,0.6463059222791789,0.20350765450553912,0.8137931034482758
qwen,23,4,35,independent_within_prompt_precurrent,0.4096372454448629,1.8502441613460476,0.653837972006814,0.6426785162406218,0.7775591842088005,0.6481170382271811,0.20069396876679357,0.8275862068965517
qwen,23,4,36,independent_within_prompt_precurrent,0.41059125827560305,1.8518603793258703,0.6549332170111976,0.645620399651366,0.7817561807331628,0.6489732167074445,0.20029961215253658,0.8172413793103448
qwen,23,4,37,independent_within_prompt_precurrent,0.41282724636340296,1.855174961522448,0.6563204651638694,0.6477713351472796,0.7815594465210833,0.6507532279117069,0.19868685694417865,0.8172413793103448
qwen,23,4,38,independent_within_prompt_precurrent,0.411252862925205,1.849976962322625,0.6546360953890423,0.644619844388655,0.7837891009246508,0.6593364395332466,0.19568831947322132,0.8137931034482758
qwen,23,4,39,independent_within_prompt_precurrent,0.4062529197327541,1.8658448306080608,0.6522521082760451,0.641963833910114,0.7769034035018689,0.6344989102573619,0.19855093099959403,0.8068965517241379
qwen,23,4,40,independent_within_prompt_precurrent,0.40700097997604756,1.8490441371302198,0.6532212279419592,0.6402505644610069,0.7791330579054364,0.641252331045389,0.19655633020711932,0.8344827586206897
qwen,23,4,41,independent_within_prompt_precurrent,0.4069171614379121,1.857171739368094,0.6517585092373117,0.6378636976897208,0.7839858351367304,0.6594017322806742,0.19771680621587673,0.8172413793103448
qwen,23,4,42,independent_within_prompt_precurrent,0.4128668489728968,1.8716180869632213,0.6561498810205273,0.6485674494404029,0.7851662404092071,0.6355677997777528,0.20184301294893267,0.8206896551724138
qwen,23,4,43,independent_within_prompt_precurrent,0.4015741806980677,1.864151836458468,0.6486751615528762,0.6351971084365802,0.7738868122499836,0.6406377915556868,0.20286966330665945,0.8137931034482758
qwen,23,4,44,independent_within_prompt_precurrent,0.4192787059427462,1.842680778316372,0.6602114467340296,0.6523273427475114,0.7902813299232736,0.6567062408015215,0.1997808168034509,0.8068965517241379
qwen,23,4,45,independent_within_prompt_precurrent,0.4043960763480082,1.8679576314058417,0.6491315020529913,0.6426209480253589,0.7781493868450391,0.6487011291399303,0.20109409096126704,0.8206896551724138
qwen,23,4,46,independent_within_prompt_precurrent,0.4184380544890226,1.8493812185491105,0.6597189470853778,0.6520867371298739,0.7847727719850482,0.6322904731297441,0.20147003171502997,0.8103448275862069
qwen,23,4,47,independent_within_prompt_precurrent,0.41450261860323057,1.8482083378396756,0.6569192026579151,0.6480813178448492,0.7802478851072201,0.6470635860150958,0.20171033764268448,0.8206896551724138
qwen,23,4,48,independent_within_prompt_precurrent,0.40018846065706926,1.861330928425084,0.6471270527743472,0.6362773735358089,0.7798544166830612,0.6356813388930035,0.19943677746655789,0.8137931034482758
qwen,23,4,49,independent_within_prompt_precurrent,0.39311233914931354,1.8806203032178404,0.6428349611246832,0.6343896773148154,0.7751327955931536,0.6420992079369483,0.2018663245499793,0.8310344827586207
qwen,24,5,0,independent_within_prompt_precurrent,0.5417602943641844,1.6846803039393252,0.7403626909181709,0.7156531175907772,0.8300872188340219,0.6428388127483629,0.18135629449427837,0.8137931034482758
qwen,24,5,1,independent_within_prompt_precurrent,0.5329485558464044,1.7067807507604948,0.7352746004140529,0.7068687983848874,0.8269394714407503,0.6339035168572562,0.18762260314228116,0.8103448275862069
qwen,24,5,2,independent_within_prompt_precurrent,0.5292832994354977,1.7164611363942794,0.7323654705357024,0.7088952487657453,0.8373663846809627,0.6724199686007452,0.18530443146582293,0.803448275862069
qwen,24,5,3,independent_within_prompt_precurrent,0.5518988627232675,1.6612454391520903,0.7463295671068578,0.7230004455772192,0.8459571119417666,0.6854094274328318,0.17791287064214487,0.8241379310344827
qwen,24,5,4,independent_within_prompt_precurrent,0.5281847404350613,1.7180986597085666,0.7334171810241344,0.7069878711036363,0.831333202177192,0.6549849462330694,0.18707046669975033,0.8137931034482758
qwen,24,5,5,independent_within_prompt_precurrent,0.5347119257246302,1.7049116552331778,0.7377063394874303,0.712345405393298,0.8371696504688833,0.6547026667152303,0.18427601853331732,0.8137931034482758
qwen,24,5,6,independent_within_prompt_precurrent,0.5380737730004952,1.6989543298003131,0.7381595150771346,0.7139563313486044,0.8409076004983933,0.675933884864651,0.18294898524717143,0.8137931034482758
qwen,24,5,7,independent_within_prompt_precurrent,0.5346305219854459,1.7116640080921472,0.7366669141606539,0.7126421031181147,0.8399895075086891,0.6762742756152683,0.184207300964378,0.8137931034482758
qwen,24,5,8,independent_within_prompt_precurrent,0.5356329162307822,1.6996056711721017,0.7370248512823326,0.7143189619011581,0.8341530592169979,0.6351838679082882,0.18566752975109893,0.7931034482758621
qwen,24,5,9,independent_within_prompt_precurrent,0.5360240437869901,1.706813636179647,0.7377209078551548,0.7139838853661661,0.8384156338120532,0.6626275850138534,0.18665644609333704,0.803448275862069
qwen,24,5,10,independent_within_prompt_precurrent,0.5307581160101668,1.709739081823459,0.7335103490109548,0.7101194344031314,0.8307429995409534,0.6488542108327195,0.18510454128486079,0.8068965517241379
qwen,24,5,11,independent_within_prompt_precurrent,0.5379417430516559,1.698442867373286,0.7388311323644055,0.7138389807559531,0.8401206636500754,0.6703938746377459,0.18375105922950763,0.8068965517241379
qwen,24,5,12,independent_within_prompt_precurrent,0.5472566197565456,1.6767780173263653,0.7438033324240466,0.7205722477795905,0.8408420224277002,0.665116404010697,0.18308802797901574,0.8172413793103448
qwen,24,5,13,independent_within_prompt_precurrent,0.5327142803727158,1.7024116537153915,0.7352818816417563,0.7105354508647109,0.8392025706603712,0.6757324488077547,0.1816917665121163,0.8103448275862069
qwen,24,5,14,independent_within_prompt_precurrent,0.5405912383999645,1.6861271682404648,0.7391883901322488,0.7172362435105079,0.846481736507312,0.6766274132080062,0.18073968613813052,0.8068965517241379
