task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.5,165,0.5432098765432098
lexical_category,qwen,0.5,166,0.5
lexical_category,qwen,0.5,167,0.49444444444444446
lexical_category,qwen,0.5,168,0.4703703703703703
lexical_category,qwen,0.5,169,0.5509259259259259
lexical_category,qwen,0.5,170,0.5277777777777778
lexical_category,qwen,0.5,171,0.5243827160493827
lexical_category,qwen,0.5,172,0.512962962962963
lexical_category,qwen,0.5,173,0.6234567901234568
lexical_category,qwen,0.5,174,0.6509259259259259
lexical_category,qwen,0.5,175,0.48858024691358026
lexical_category,qwen,0.5,176,0.5487654320987654
lexical_category,qwen,0.5,177,0.4246913580246914
lexical_category,qwen,0.5,178,0.5111111111111111
lexical_category,qwen,0.5,179,0.542283950617284
lexical_category,qwen,0.5,180,0.5333333333333333
lexical_category,qwen,0.5,181,0.5327160493827161
lexical_category,qwen,0.5,182,0.4780864197530864
lexical_category,qwen,0.5,183,0.4657407407407407
lexical_category,qwen,0.5,184,0.4981481481481481
lexical_category,qwen,0.5,185,0.5120370370370371
lexical_category,qwen,0.5,186,0.5157407407407407
lexical_category,qwen,0.5,187,0.5172839506172839
lexical_category,qwen,0.5,188,0.5259259259259259
lexical_category,qwen,0.5,189,0.5645061728395062
lexical_category,qwen,0.5,190,0.5441358024691358
lexical_category,qwen,0.5,191,0.500925925925926
lexical_category,qwen,0.5,192,0.5114197530864197
lexical_category,qwen,0.5,193,0.5503086419753086
lexical_category,qwen,0.5,194,0.5135802469135803
lexical_category,qwen,0.5,195,0.4947530864197531
lexical_category,qwen,0.5,196,0.5401234567901234
lexical_category,qwen,0.5,197,0.5037037037037038
lexical_category,qwen,0.5,198,0.44907407407407407
lexical_category,qwen,0.75,0,0.6169753086419754
lexical_category,qwen,0.75,1,0.6203703703703705
lexical_category,qwen,0.75,2,0.6432098765432099
lexical_category,qwen,0.75,3,0.6015432098765432
lexical_category,qwen,0.75,4,0.7012345679012346
lexical_category,qwen,0.75,5,0.5993827160493828
lexical_category,qwen,0.75,6,0.6540123456790123
lexical_category,qwen,0.75,7,0.6317901234567901
lexical_category,qwen,0.75,8,0.7141975308641975
lexical_category,qwen,0.75,9,0.604320987654321
lexical_category,qwen,0.75,10,0.5975308641975309
lexical_category,qwen,0.75,11,0.6820987654320987
lexical_category,qwen,0.75,12,0.5959876543209877
lexical_category,qwen,0.75,13,0.5546296296296296
lexical_category,qwen,0.75,14,0.5734567901234567
lexical_category,qwen,0.75,15,0.5620370370370371
lexical_category,qwen,0.75,16,0.5694444444444444
lexical_category,qwen,0.75,17,0.6194444444444445
lexical_category,qwen,0.75,18,0.6033950617283951
lexical_category,qwen,0.75,19,0.6104938271604938
lexical_category,qwen,0.75,20,0.5651234567901234
lexical_category,qwen,0.75,21,0.6333333333333333
lexical_category,qwen,0.75,22,0.5864197530864197
lexical_category,qwen,0.75,23,0.6179012345679012
lexical_category,qwen,0.75,24,0.6432098765432099
lexical_category,qwen,0.75,25,0.6055555555555556
lexical_category,qwen,0.75,26,0.6061728395061728
lexical_category,qwen,0.75,27,0.5543209876543209
lexical_category,qwen,0.75,28,0.5817901234567902
lexical_category,qwen,0.75,29,0.6219135802469136
lexical_category,qwen,0.75,30,0.5876543209876544
lexical_category,qwen,0.75,31,0.6311728395061729
lexical_category,qwen,0.75,32,0.6212962962962962
lexical_category,qwen,0.75,33,0.5765432098765432
lexical_category,qwen,0.75,34,0.5938271604938272
lexical_category,qwen,0.75,35,0.5978395061728395
lexical_category,qwen,0.75,36,0.5895061728395061
lexical_category,qwen,0.75,37,0.5614197530864198
lexical_category,qwen,0.75,38,0.5833333333333333
lexical_category,qwen,0.75,39,0.5589506172839507
lexical_category,qwen,0.75,40,0.5339506172839507
lexical_category,qwen,0.75,41,0.6138888888888889
lexical_category,qwen,0.75,42,0.6364197530864197
lexical_category,qwen,0.75,43,0.5895061728395061
lexical_category,qwen,0.75,44,0.5885802469135804
lexical_category,qwen,0.75,45,0.6049382716049383
lexical_category,qwen,0.75,46,0.587037037037037
lexical_category,qwen,0.75,47,0.612037037037037
lexical_category,qwen,0.75,48,0.6382716049382716
lexical_category,qwen,0.75,49,0.5703703703703704
lexical_category,qwen,0.75,50,0.5876543209876544
lexical_category,qwen,0.75,51,0.5651234567901234
lexical_category,qwen,0.75,52,0.6108024691358025
lexical_category,qwen,0.75,53,0.6101851851851852
lexical_category,qwen,0.75,54,0.6123456790123456
lexical_category,qwen,0.75,55,0.6737654320987654
lexical_category,qwen,0.75,56,0.6046296296296296
lexical_category,qwen,0.75,57,0.6342592592592593
lexical_category,qwen,0.75,58,0.6166666666666667
lexical_category,qwen,0.75,59,0.6876543209876543
