null_type,null_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,cross_half_unbiased_cka,quarter_unbiased_cka,task,model,init_seed
contiguous_block_donor_k4,56,-0.04814762994647026,-0.013337585143744946,-0.20397107303142548,-0.02677331306040287,-0.02214372344315052,0.9582862833840524,0.9371645501620788,lexical_category,qwen,1801
independent_layer_donor,57,-0.04712983965873718,-0.013630497269332409,-0.20053064823150635,-0.02339317463338375,-0.020116977393627167,0.9730430112241267,0.9574039318898645,lexical_category,qwen,1801
lag1_matched_markov_donor,57,-0.04654126986861229,-0.013409909792244434,-0.20012180507183075,-0.02760157734155655,-0.020118722692131996,0.9734393210492772,0.9587952654114326,lexical_category,qwen,1801
contiguous_block_donor_k4,57,-0.04871438071131706,-0.013841229490935802,-0.20446352660655975,-0.026742080226540565,-0.022204458713531494,0.9585321724645317,0.9389709529304261,lexical_category,qwen,1801
independent_layer_donor,58,-0.04714066907763481,-0.01404243241995573,-0.200564906001091,-0.023361191153526306,-0.020291656255722046,0.9744560651216443,0.958651292868906,lexical_category,qwen,1801
lag1_matched_markov_donor,58,-0.047699932008981705,-0.013476277701556683,-0.20106756687164307,-0.0276015792042017,-0.02018442191183567,0.9729918010473648,0.9586364492278049,lexical_category,qwen,1801
contiguous_block_donor_k4,58,-0.04935450479388237,-0.013389394618570805,-0.2051268070936203,-0.026764243841171265,-0.022170478478074074,0.9593303183907071,0.9374931018322809,lexical_category,qwen,1801
independent_layer_donor,59,-0.047421038150787354,-0.013708807528018951,-0.20085163414478302,-0.0234852135181427,-0.02028661035001278,0.9740930905177615,0.960811972641818,lexical_category,qwen,1801
lag1_matched_markov_donor,59,-0.047745201736688614,-0.014046858064830303,-0.2014598250389099,-0.0276015792042017,-0.02003377676010132,0.9740720760703621,0.9579099360055742,lexical_category,qwen,1801
contiguous_block_donor_k4,59,-0.04853926971554756,-0.013868696987628937,-0.204163059592247,-0.02677958272397518,-0.02221209742128849,0.9584483689917218,0.9391771213779084,lexical_category,qwen,1801
independent_layer_donor,60,-0.04672691226005554,-0.013425983488559723,-0.20012931525707245,-0.023318877443671227,-0.02022913284599781,0.9741858057129086,0.9596345805974026,lexical_category,qwen,1801
lag1_matched_markov_donor,60,-0.046600740402936935,-0.013524248264729977,-0.20015482604503632,-0.0276015792042017,-0.019885366782546043,0.9732274039792594,0.9583637482748453,lexical_category,qwen,1801
contiguous_block_donor_k4,60,-0.04923737049102783,-0.014864645898342133,-0.20491373538970947,-0.02682569809257984,-0.02225460670888424,0.9571532177158641,0.9391251077078082,lexical_category,qwen,1801
independent_layer_donor,61,-0.04708118736743927,-0.013125111348927021,-0.20055969059467316,-0.023486457765102386,-0.02038070373237133,0.9731497686891156,0.9592547642999694,lexical_category,qwen,1801
lag1_matched_markov_donor,61,-0.04732024297118187,-0.01338033378124237,-0.20072947442531586,-0.0276015792042017,-0.020027359947562218,0.9728796524300657,0.9578020579475165,lexical_category,qwen,1801
contiguous_block_donor_k4,61,-0.04875639081001282,-0.013241150416433811,-0.20446765422821045,-0.02673535794019699,-0.02210579812526703,0.9581571762259241,0.9397055198643958,lexical_category,qwen,1801
independent_layer_donor,62,-0.04795688018202782,-0.013914269395172596,-0.2014317661523819,-0.023480838164687157,-0.02040906623005867,0.9741639006173199,0.958995719443411,lexical_category,qwen,1801
lag1_matched_markov_donor,62,-0.047874946147203445,-0.013652133755385876,-0.20148690044879913,-0.0276015792042017,-0.02002890221774578,0.9743829722865458,0.9602246185443507,lexical_category,qwen,1801
contiguous_block_donor_k4,62,-0.04875423386693001,-0.013595824129879475,-0.20443494617938995,-0.026792561635375023,-0.022146016359329224,0.9587670978327517,0.9381367662876254,lexical_category,qwen,1801
independent_layer_donor,63,-0.04779475927352905,-0.013486452400684357,-0.20127661526203156,-0.023573413491249084,-0.02051704190671444,0.9734662820137836,0.9585734715811102,lexical_category,qwen,1801
lag1_matched_markov_donor,63,-0.04711104556918144,-0.013908494263887405,-0.20047660171985626,-0.0276015792042017,-0.01988956145942211,0.972767984600604,0.9580098358681695,lexical_category,qwen,1801
contiguous_block_donor_k4,63,-0.0482790581882,-0.013722741045057774,-0.2039501667022705,-0.026704156771302223,-0.021967554464936256,0.9588972446295984,0.9383819939752893,lexical_category,qwen,1801
independent_layer_donor,64,-0.046175554394721985,-0.013590007089078426,-0.19960063695907593,-0.02351302094757557,-0.020411888137459755,0.9732015775638192,0.9585251034644348,lexical_category,qwen,1801
lag1_matched_markov_donor,64,-0.04726254940032959,-0.013102181255817413,-0.20078952610492706,-0.0276015792042017,-0.020025622099637985,0.974739685545719,0.9586074588270016,lexical_category,qwen,1801
contiguous_block_donor_k4,64,-0.04982089623808861,-0.015075381845235825,-0.20546317100524902,-0.026813840493559837,-0.022152453660964966,0.9573330339144575,0.9381173984418963,lexical_category,qwen,1801
